latitude,longitude,country_name,final_cluster
33.93911,67.709953,Afghanistan,2
41.153332,20.168331,Albania,0
28.033886,1.659626,Algeria,0
-14.270972,-170.132217,American Samoa,4
42.506285,1.521801,Andorra,0
-11.202692,17.873887,Angola,3
18.220554,-63.068615,Anguilla,1
-82.862752,135.0,Antarctica,4
17.060816,-61.796428,Antigua & Barbuda,1
-38.416097,-63.616672,Argentina,1
40.069099,45.038189,Armenia,0
12.52111,-69.968338,Aruba,1
-25.274398,133.775136,Australia,4
47.516231,14.550072,Austria,0
40.143105,47.576927,Azerbaijan,0
25.03428,-77.39628,Bahamas,1
26.0667,50.5577,Bahrain,0
23.684994,90.356331,Bangladesh,2
13.193887,-59.543198,Barbados,1
53.709807,27.953389,Belarus,0
50.503887,4.469936,Belgium,0
17.189877,-88.49765,Belize,1
9.30769,2.315834,Benin,3
32.3078,-64.7505,Bermuda,1
27.514162,90.433601,Bhutan,2
-16.290154,-63.588653,Bolivia,1
43.915886,17.679076,Bosnia,0
-22.328474,24.684866,Botswana,3
-54.4207915,3.3464497,Bouvet Island,3
-14.235004,-51.92528,Brazil,1
-6.343194,71.876519,British Indian Ocean Territory,2
18.420695,-64.639968,British Virgin Islands,1
4.535277,114.727669,Brunei,2
42.733883,25.48583,Bulgaria,0
12.238333,-1.561593,Burkina Faso,3
-3.373056,29.918886,Burundi,3
12.565679,104.990963,Cambodia,2
7.369722,12.354722,Cameroon,3
56.130366,-106.346771,Canada,1
16.5388,-23.0418,Cape Verde,1
12.1783611,-68.2385339,Caribbean Netherlands,1
19.3133,-81.2546,Cayman Islands,1
6.611111,20.939444,Central African Republic,3
15.454166,18.732207,Chad,3
-35.675147,-71.542969,Chile,1
35.86166,104.195397,China,2
-10.447525,105.690449,Christmas Island,2
-12.164165,96.870956,Cocos (Keeling) Islands,2
4.570868,-74.297333,Colombia,1
-11.6455,43.3333,Comoros,3
-0.228021,15.827659,Congo - Brazzaville,3
-4.038333,21.758664,Congo - Kinshasa,3
-21.236736,-159.777671,Cook Islands,4
9.748917,-83.753428,Costa Rica,1
45.1,15.2000001,Croatia,0
21.521757,-77.781167,Cuba,1
12.16957,-68.99002,Curacao,1
35.126413,33.429859,Cyprus,0
49.817492,15.472962,Czech Republic,0
7.539989,-5.54708,Cote dIvoire,3
56.26392,9.501785,Denmark,0
11.825138,42.590275,Djibouti,3
15.414999,-61.370976,Dominica,1
18.735693,-70.162651,Dominican Republic,1
-1.831239,-78.183406,Ecuador,1
26.820553,30.802498,Egypt,0
13.794185,-88.89653,El Salvador,1
1.650801,10.267895,Equatorial Guinea,3
15.179384,39.782334,Eritrea,3
58.595272,25.0136071,Estonia,0
9.145,40.489673,Ethiopia,3
-51.796253,-59.523613,Falkland Islands,1
61.892635,-6.9118061,Faroe Islands,0
-17.713371,178.065032,Fiji,4
61.92411,25.7481511,Finland,0
46.227638,2.213749,France,0
3.933889,-53.125782,French Guiana,1
-17.679742,-149.406843,French Polynesia,4
-49.280366,69.3485571,French Southern Territories,3
-0.803689,11.609444,Gabon,3
